Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.104-35.222.85.5-38566-80-6,192.168.0.104,38566,35.222.85.5,80,6,16/09/2020 09:45:05 AM,727214,4,4,87.0,148.0,87.0,0.0,21.75,43.5,148.0,0.0,37.0,74.0,323.1510944508769,11.00088832173198,103887.71428571429,175242.67392173086,399205.0,43.0,727153.0,242384.3333333333,214995.11855931365,410300.0,72.0,410476.0,136825.3333333333,227293.46694600207,399205.0,158.0,0,0,0,0,136,136,5.50044416086599,5.50044416086599,0.0,148.0,26.11111111111111,54.01028708599049,2917.1111111111113,1,2,0,2,7,0,0,0,1.0,29.375,21.75,37.0,0,0,0,0,0,0,0,10,0,18,64240,57,1,32,0,0,0,0,1.6002288054939525E15,253868.57057185544,1.600228805872283E15,1.600228805156268E15,No Label
35.222.85.5-192.168.0.104-80-38566-6,35.222.85.5,80,192.168.0.104,38566,6,16/09/2020 09:45:05 AM,228,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13157.894736842105,114.0,123.03657992645927,201.0,27.0,0,0,0,0,0,201.0,201.0,0.0,201.0,201.0,0,0,0,0,32,76,4385.964912280701,8771.929824561403,0.0,0.0,0.0,0.0,0.0,2,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,57,501,0,32,0,0,0,0,0,0,0,0,No Label
52.247.2.90-192.168.0.104-443-56904-6,52.247.2.90,443,192.168.0.104,56904,6,16/09/2020 09:51:19 AM,13118760,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22868014964828992,6559380.0,9214720.001788551,1.3075171E7,43589.0,0,0,0,0,0,1.3075171E7,1.3075171E7,0.0,1.3075171E7,1.3075171E7,0,0,0,0,32,64,0.07622671654942997,0.15245343309885995,0.0,0.0,0.0,0.0,0.0,2,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1022,501,0,32,0,0,0,0,1.3031582E7,0.0,1.3031582E7,1.3031582E7,No Label
192.168.0.104-54.229.113.239-60156-443-6,192.168.0.104,60156,54.229.113.239,443,6,16/09/2020 09:51:49 AM,2051002,20,15,986.0,64535.0,434.0,0.0,49.3,126.57808074985095,15400.0,0.0,4302.333333333333,4304.983933380781,31945.84890702203,17.06482977588515,60323.58823529412,112399.81735996097,309915.0,5.0,2051002.0,107947.47368421052,134937.78679918815,309947.0,22.0,1741180.0,124369.99999999999,176165.27404466175,513292.0,30.0,0,0,0,0,648,488,9.751331300505802,7.313498475379351,0.0,15400.0,1820.0277777777778,3456.7304245164646,1.1948985227777777E7,1,2,0,10,34,0,0,0,0.0,1872.0285714285715,49.3,4302.333333333333,0,0,0,0,18,43456,0,28,0,1843,64240,114,6,32,0,0,0,0,1.6002292109713222E15,552267.2977599251,1.600229211709968E15,1.600229209659126E15,No Label
192.168.0.104-54.229.113.239-60156-443-6,192.168.0.104,60156,54.229.113.239,443,6,16/09/2020 09:51:51 AM,296292,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.750097876419208,296292.0,0.0,296292.0,296292.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,3.375048938209604,3.375048938209604,0.0,0.0,0.0,0.0,0.0,1,0,1,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,747,114,0,32,0,0,0,0,0,0,0,0,No Label
192.168.0.104-18.203.57.69-37494-443-6,192.168.0.104,37494,18.203.57.69,443,6,16/09/2020 09:51:52 AM,9055831,12,7,905.0,5752.0,442.0,0.0,75.41666666666667,144.40942951668126,2800.0,0.0,821.7142857142857,1266.5249983433296,735.1064744914079,2.0980956910525386,503101.72222222213,1836594.3770661277,7848919.0,8.0,9055831.0,823257.3636363636,2333859.6340787197,7848919.0,46.0,898866.0,149811.0,164214.75726864501,306860.0,31.0,0,0,0,0,392,232,1.3251130680331822,0.7729826230193563,0.0,2800.0,332.84999999999997,808.9264669593698,654362.0289473684,1,2,0,9,18,0,0,0,0.0,350.36842105263156,75.41666666666667,821.7142857142857,0,0,0,0,9,8010,0,47,0,302,64240,114,6,32,0,0,0,0,1.6002292131799532E15,2118969.2666345504,1.600229221061696E15,1.600229212049477E15,No Label
192.168.0.104-54.229.113.239-60154-443-6,192.168.0.104,60154,54.229.113.239,443,6,16/09/2020 09:51:49 AM,11448586,11,6,875.0,5925.0,434.0,0.0,79.54545454545455,144.2417163211556,5289.0,0.0,987.5,2119.7834559218545,593.9598130284386,1.4848995325710965,715536.625,2471175.494903964,9971400.0,12.0,1.1448586E7,1144858.6,3104222.5428169505,9971400.0,116.0,1133802.0,226760.4,218483.05775116754,517033.0,4117.0,0,0,0,0,360,200,0.9608173446048272,0.5240821879662694,0.0,5289.0,377.7777777777779,1237.3386314541744,1531006.8888888892,1,2,0,9,16,0,0,0,0.0,400.0,79.54545454545455,987.5,0,0,0,0,8,7604,0,51,0,348,64240,114,6,32,0,0,0,0,1.6002292112470222E15,2846707.1307551446,1.600229221064077E15,1.600229209659137E15,No Label
192.168.0.104-13.35.20.78-39518-443-6,192.168.0.104,39518,13.35.20.78,443,6,16/09/2020 09:51:54 AM,6682906,14,9,1125.0,6899.0,406.0,0.0,80.35714285714286,140.69695045782572,2800.0,0.0,766.5555555555555,963.0458336848656,1200.6752750973903,3.441616566206378,303768.4545454546,1294510.2496688792,6093852.0,26.0,6682906.0,514069.6923076923,1679733.725097889,6093852.0,64.0,451654.0,56456.75,87497.03783026845,239399.0,562.0,0,0,0,0,456,296,2.0948970402995344,1.3467195259068434,0.0,2800.0,334.33333333333326,671.5711407598225,451007.7971014493,1,2,0,8,22,0,0,0,0.0,348.8695652173913,80.35714285714286,766.5555555555555,0,0,0,0,9,17814,0,48,0,299,64240,126,6,32,0,0,0,0,1.600229214980011E15,1439560.9907758443,1.600229221069116E15,1.60022921442762E15,No Label
13.35.20.78-192.168.0.104-443-39518-6,13.35.20.78,443,192.168.0.104,39518,6,16/09/2020 09:52:01 AM,552,4,1,24.0,0.0,24.0,0.0,6.0,12.0,0.0,0.0,0.0,0.0,43478.260869565216,9057.971014492754,138.0,229.56335363758157,482.0,10.0,552.0,184.0,280.00535709160994,507.0,10.0,0,0,0,0,0,0,0,0,0,128,32,7246.376811594203,1811.5942028985507,0.0,24.0,4.0,9.797958971132712,96.0,1,0,0,1,5,0,0,0,0.0,4.8,6.0,0.0,0,0,0,0,0,0,0,4,0,0,126,501,1,32,0,0,0,0,1.600229221204637E15,35.35533905932738,1.600229221204662E15,1.600229221204612E15,No Label
192.168.0.104-13.35.20.78-39516-443-6,192.168.0.104,39516,13.35.20.78,443,6,16/09/2020 09:51:53 AM,7760020,65,82,944.0,165162.0,438.0,0.0,14.52307692307692,69.21007596719294,11200.0,0.0,2014.170731707317,1592.0040309899807,21405.35720268762,18.94325014626251,53150.82191780822,579002.9628994964,6998996.0,10.0,7760020.0,121250.3125,873844.8460103504,6998996.0,55.0,671668.0,8292.197530864194,20981.145447412873,103529.0,28.0,0,0,0,0,2088,2632,8.37626707147662,10.56698307478589,0.0,11200.0,1122.3378378378386,1547.1068304913902,2393539.544953115,1,2,0,8,146,0,0,0,1.0,1129.9727891156463,14.523076923076923,2014.1707317073171,0,0,0,0,81,252083,0,6,0,1123,64240,122,6,32,0,0,0,0,1.6002292140918648E15,619642.4891201801,1.600229221205375E15,1.600229213445544E15,No Label
